	text	category
119	 Oru marana mass chitramaavatte laleeta lucifer	Positive
120	 Kuru potti olikknna 1k poojappura fans🤣🤣🤣	Negative
121	 adiyum bahalavumillathe swasthamayi kandirikkan pattunna oru nalla cinema	Positive
122	 Mohanlal prithvi fans like adik lucifer bamber hit akum	Positive
123	 Jayasurya mass after long time.podi pooram	Positive
124	 Mammukka ningalau muthhaaa oru rakshayilaaa kikiduuu	Positive
125	 Ettante lucifer 100 cr club kadakumm enn parayunnavar like adicheee	unknown_state
126	 Laalettan fans only hit likes here	unknown_state
127	 Kure per dislike adich kuru pottikkunnund	Negative
128	 Dislike adechath alla punnara makkalum anta veral നമസ്കാരം	Negative
129	 Fight dialoge bgm oru rakshayum illa	Positive
130	 3 million   ettanum pillerum	unknown_state
131	 Ithu rajayude 3 strong Alla ettande Lucifer	Mixed_feelings
132	 E padathinte making ushar aanenu thonunu..  Trailer kanditt padam kandathokem thallipoli aayirnu.  But trailer pwolichu	Positive
133	 Samyuktha vendayirunnu. :(  Aishu pwoli ann	Negative
134	 Trailer erangiyilla adhinu munpe pedich thoori dislike adikunna mammunnyolikal	Negative
135	 Dislike adikunna mandanmar ariyunnilla ithu open akkiyal views nte ennam koodum ennu	Negative
136	 JAI LUCIFER JAI LALETTAN JAI PRITHWI	Positive
137	 Nalla punch ulla trailer mamooka Jai anusree shamna ellarkum bst of luck	Positive
138	 MAMMOKKENTE ( BIG B2=BILAL )veranam ennu agraham ullavar undoo	unknown_state
139	 Bro support koduthilenkilum dislike adikkathirunoode .	Negative
140	 Aaa kochu edhaaa real fighter kannukalile theepori kidu	unknown_state
141	 swandam recordukal thanne thiruthunaa  nadan pulimuruganekal odane daivame	unknown_state
142	 Suraj ettan fans fans like ivide	Positive
143	 Eid usharakkanam ..Ithiri late ayalum nammal polikkum. Mammukka sa	Positive
144	 E padam hit akum enn urapullavar like adikan ulla sthalam🥰🥰🥰	Positive
145	 ee unlike adichavark oru asukam undu enthuvanan ariyamo asooya	Negative
146	 Ee trailer kandapo KGF ormavanavar  adikk...	unknown_state
147	 Ith oru onnonnara item aayrikkum	Positive
148	 Njan mammoty fan Ann pakshe enikk ishtapettu	Positive
149	 Pirates of carbien aarum kanditilananu mone ninte vicharam	Negative
150	 Ravananaya avane nerkkuner illathakkan oru maha avatharam thanne vendi varum	unknown_state
151	 Aa thodakathile august cinemas eenu title card varumbol olla bgm Pwoli	Positive
152	 Ettan mass kanikkan thudangiyath innum innaleyumonnumalle makkale	Positive
153	 japan ne kali aakan maathram nammal aayitilla suraj ettaa :/	unknown_state
154	 im a katta lalettan fan....but ithu hit aaakanam..heavy	Positive
155	 Katta vishayam oru rekshem illa etta fdfs	Positive
156	 Dislike cheyunavanoke ethu naarikal aanenavo.... Chathude...   Kidukachi trailer vanetum dislike 1.1k Kashtam preshakare...	Negative
157	 Oru dubbing padathinte trailer pole.  kidu	Positive
158	 Myarakam ikka  Hollywood direction and visuals	Positive
159	 Ini kando... Adiude Ideude Vedi pooram......🧨🧨	Positive
160	 Innu trailer'um	unknown_state
161	 Aa kannukal mathram mathi a character depth mansilkan laletta.....	Positive
162	 Trailer Oru rakshyum illa adi poli jayettan takarkkum	Positive
163	 Dislike adichavarokke  ith okke kanditt engane dislike adikkaan saadhikunnu uvve	unknown_state
164	 Ee Padam Kolamavukayaanengil it will be because of Peter hein	Negative
165	 Movide peru kandu dislike adikaan vannatha	Positive
166	 Avalude name veykkunille avar lead cheyyunna film alle..	Negative
167	 6000 suscribe ulladhil itt 22k suscribe414kview 91k like aaaakiyya ikka mass	unknown_state
168	 Kidu bgm for ikka kidu movie super	Positive
169	 MAMMOOKKAAA....  NIGHAL MUTHAANU....Nighal kola maassalla...  kolaveri maasaanu.....	Positive
170	 Ittimani film kandathinu shesham evide vannavar like adikku pinne replyum theru	unknown_state
171	 Deleep atta padam orappu maga hit	Positive
172	 ee padam 8 nilayil podannamennju prarthikunnju	Negative
173	 Ikka i lv uuuuu big screen kandolan waitinggggg	Positive
174	 Ee padam hit aakum ennu orappullavar enik oru 100 like taa	unknown_state
175	 trailer valare cheruthayipoyi mammoottyude mukham enkilum onnu kanikkamayirunnu	Mixed_feelings
176	 Ayye poraaa.... lalettan nu role ille??	Negative
177	 Vineethangil adu supero super chodikanundo allea vineetheaaa	Positive
178	 Fdfs vare wait cheyyan pattilla Ijjathi ittam Mamookka	Positive
179	 Owf Poli......angane oru paad naal kazhinj oru Nalla cinima kanaan povnu	Positive
180	 Enta ponno ikka kalakum van trailer	Positive
181	 Entammo ikka powli powli ...heavy item	Positive
182	 Ee trailer vachaaanooo luciferinodu muttaan varunnath	Negative
183	 16 k views  55 k likes	unknown_state
184	 11million aayo enn nokaan varunnavarundo ??	unknown_state
185	 Ini aarkkum onnum parayaanillallooo Remember the Name: Laleettan	Positive
186	 Inn ni8 full repeat adich kanan ponavar ivide like adicholu	Positive
187	 Adipoliii movie..Suraj nta acting super ayiittodee....anike othiri ishtapatuuu..super movie	Positive
188	 Edakku oru hollywood movie scene keri vanna pole ennikk mathramano thonniyath....?	unknown_state
189	 Just 1min      etra per page il und	unknown_state
190	 Mudi valarthi lalettan pazhya rajashilpi look thannee 0.51 il... super	Positive
191	 Moood poyi mood poyi aa sabune kandappol mood poyi	Negative
192	 Dislike adicha pullanmarude mugathulla adiyavatte oro likum	Negative
193	 Ekka @ madhura Raja and lalettan @ Lucifer... 2 padam iragan pokuvane...oru tight competition prethishikkunnu	unknown_state
194	 @02:19 Ee scene theatril polikkum .... Lalettta :):>3	Positive
195	 njaghalu katta waiting aanu...nov 21 aavunnillallo ennoru pbm	Positive
196	 Vivek oberoi best villan powli 🤩🤩🤩	Positive
197	 E trailer 5 il kooduthal kandavar like	unknown_state
198	 Kalathu ezhunnettu ee trailer kanumbol oru unmesham kittunnudu	Positive
199	 Trailer oru rakshayum illa 3 vattam kandu  Not the point aarudeyum fan alla	Positive
200	 Ambooo Roman ezunettu  EPIC loading	Positive
201	 Powlii powlii...last dialogue comedy anenkilu kidlm tyming	Positive
202	 Oru rakshayum illa ikka ingal yendhon manusyanaaa itihasam	Positive
203	 Trailernu katta wait cheythirikkunna ethra aalundu ivide	Positive
204	 Kashttamund!! Paavam chinnane enthina konne???Rakshapeduthi koodarunno?Minister Rajayil chinnane pratheekshikkunnu...  Chinnaraja fans adi like!!!	unknown_state
205	 oru rakshayum illlla. orappicho muruga ninte mukalilekkk oru asuravithinte idivettu entry kathninnooo 100 crore club  adichaaaaaach	Positive
206	 Priya kuttoos nte teaser aayinankilu eppaze million views aavateenum	unknown_state
207	 Aa last nadatham kanditt best actor orma vanna arelum undo..?	unknown_state
208	 Ente ichayooo....  Athre parayunnulluuu.... Ennu manasil karuthiyavar hit like here.....	unknown_state
209	 Police ill minimum  hight elle  Aju oke police	Negative
210	 500k enn paranjitt 410k ullollo real time views 🤣	unknown_state
211	 Lalettane prathheeshich ithuvazhi vannavar like	unknown_state
212	 Orika kanda veendum veendum kanan thonnum..	Positive
213	 Stars nu pakaram Nalla cinema'ye support cheyyunavar adi like..	unknown_state
214	 Haavu samadaanamaayi  Editor mahesh narayanan	unknown_state
215	 Dislike cheydha thendigalk releasin kaanich therum nangal endhan mamangam enn	Negative
216	 EyyaLu Nthu Manushana Oru Rakshayum Ella Kidu	Positive
217	 Ee nanchakottayill arudeyuum kanneeroppaan vannathalla njan..pakshe karayikunnavante okeyuum thala njan adichu polikuum!	unknown_state
218	 ikkante mugham illathe thanne super mugham koode kanichenkil enthavum avastha	Positive
219	 Rajuvetta ningal mass annu.  Ammoo enna oru feel.  Laletta	Positive
220	 Uff mwonr kinnam kaachya item	Positive
221	 Appo nayakan mammukka alley.....e piller aaaana	unknown_state
222	 madhura rajayum  usharavatte ...from a lalettan fan .	Positive
223	 CHANDU vine orma vannavar ivde common	unknown_state
224	 Sambavam kollam but	Mixed_feelings
225	 Mamookayude padamaayalum lalettan te padamaanenkilum itoru malayalam padamaanu athorkanam nammaku Ella industrikaleyum vettichu nammade Malayalam industriye unnatangalil ethikanam	Positive
226	 Njan oru a10 fan aanu but ithu kollaam...... nammade ikka poliyaanuu..... all the best......	Positive
227	 Please Upload moha mundiri video song	unknown_state
228	 Ee padam kand chirich pandaram adangi	Positive
229	 Trailer kandappo oru karym manasilayi eni mammooka fans luciferine velluvilikkilla	Negative
230	 Trailer kandapol bahubali orthavar like adi	unknown_state
231	 Hvy iteam	Positive
232	 212k views	unknown_state
233	 Njan aashupatriyiloottu pookuvaa...ullla roomamellam roomanjichu parinju pooyi..baakki ulllathu pongithanna nikkuva..etttan maatana maaraka maasss*	Positive
234	 Fight vere level teateril paper kure keerendi varum ichayoooo	Positive
235	 Trailer vere level Anu makkale🤩🤩Mammookka uyir...   mamangam_november 21	Positive
236	 Ethilum valiya masSs eni ella  Padam 100 crore loading	Positive
237	 Cinima 2 aam vattam kanan paisa illanitt trailer veendum kanunnadh njn maathramano?	unknown_state
238	 E padathil elllavarum und but pottiyal ellam pogum....... Appurath Yama Dan kadha verunnund madhura raajayum Ethayalum all the best	Mixed_feelings
239	 mammookkayude scenes pause cheytu kandavar arokke undu	unknown_state
240	 mammootty kazhinju vere oru nadan malayalathil illa karanam etavum last mammootty Anu	unknown_state
241	 Pokiri Raja nte athra odulaa ee chithram eniku thonunnu....	Negative
242	 Gopi sunderinte teaser bgm kaliyakkiyavarkkulla marupadi koodi	Positive
243	 Eee oru movie കൊണ്ട്‌ mohanlal fan aakumennu തോനുന്നു katta waiting	Positive
244	 69 years old Megastar  Nammude Mammookkaa oreee poli mammookkaa	Positive
245	 Releasinte aan thanne pokum ennu   Urappullavar adi like	unknown_state
246	 Oru mass political- family blockbuster hit aakatteyenn aashamsikkunnu	Positive
247	 Trailor kand 8 nilayil pottum enn thonunnu mumbathe pole tholvigal vaari kootan thudangunnu	Negative
248	 Vineeth sreenivasan presents	Positive
249	 Ikkaye kanan vendi mathram fdfs urapichavar like	Positive
250	 Ente ikkkaaaa kola mass YouTube hang aanu makkale	Positive
251	 Dislike myrolikalk ulla kandam Madhurayil orukkiyittund enn parayan paranju....	Negative
252	 yeshu das saarinte oru song ithil pratheekshikkaavo	unknown_state
253	 1 st day kazinju theatre bakki undayal mathiyayirunnu...lalettan	Positive
254	 Lucifer pola nalla oru padam avatte	Positive
255	 10M adikkum ennullavar aadhyam like onn adiche	unknown_state
256	 Negative aayi onmilla   eattn polikm	Positive
257	 Njan mathram ano padam kand വന്നു veendum trailer edth noki veendum padam kanan poyathangane പോയവര്‍ അടി like	unknown_state
258	 2013 drishyam 75 cr 2016 pulimurugan 150 cr 2019 Lucifer any guess???	unknown_state
259	 Lastilathe punch kaanan mathram veendum vannavarundel chummathonnu njekkiyechum poike	Positive
260	 Pwlichu........... Ikkka pwlichu  മാസ്സ് പടം.. ... Hollywood cut..	Positive
261	 Trailer erghunathinn munbb .kanathe dislike adichavanmaar verum verum..... Feeling pucham to u all	Negative
262	 Ambooo  Ettan kidu acting  Raju Ettan poli making	Positive
263	 onnum parayan Ila...mammokka polichu.... Thakarthuu.... 🤩🤩🤩🤩	Positive
264	 Suraj ettan soubin ikka enn kelkkumbo thanne oru nalla cinema yude smell adikkunnund.waiting for releasing	Positive
265	 Ejjati item ettan pwolikkum all the best raju etta	Positive
266	 Ohhh my god... endhokke looks aanu...  onnum parayaanillaa... katta waiting lalettaa...	Positive
267	 Madhuraraja teaser ethaanenkil trailer enthaayirikkum April kazhinjaal theater ok kaanumo aavo	unknown_state
268	 Sheriyaya views ano allengil youtube lalettan hang akkiyathano ennu samshyamullarkku like adikkanulla thumbu	unknown_state
269	 Enthonnadei ithu pulimurugan tamil remake a🤣🤣🤣	Mixed_feelings
270	 10 million ayo ennu nokkan varunnavar like adi	unknown_state
271	 Thalachorilla budhiyum illatha 11k aalkkar . Ninte okke thalakku ooolamanooo	Negative
272	 Ella cinimakaludeyum trailer kanunathe habits aakkiyavarundo	unknown_state
273	 Trilar kanditt padam. Valiya pratheeksha illaa	Mixed_feelings
274	 Wtng laletta...	Mixed_feelings
275	 Looks like netflix series oru film aayi coloring Mach aavunnilla	Negative
276	 ooro secondum mmakkayude entrik vendi waiting aayirunnu	Positive
277	 Mammookem Pillerum Ithil Polikkum Ennu Urapullavar Like Adich Pokko	unknown_state
278	 tovinok pakaram unni mukundan mathiyarunnu....	Mixed_feelings
279	 Panieduthittu padikkan verunnavante kayyude thazhambumkondonnu kittiyal mathi ....Pinne joraa	unknown_state
280	 Soundil  kurachukoodi  bass koodi  undayinnel kidilan	Mixed_feelings
281	 Lalettan faanan but ee trailer kidukki tto	Positive
282	 Adipoli	Positive
283	 Ipo 10 vattam kandu yennittum madhiyavunnilla romanjifikshan ikka	Positive
284	 Padam polikunna thonnunne Soubin oru pradhibasam thanne Ambili kandit oru onnonnara fana ayi njn	Positive
285	 Prathviraaj	Positive
286	 Ravananaya avane NERKKUNER ILLATHAKKAN oru maha.....	unknown_state
287	 Ithu polulla padam ikkanekkonde abhinayichu kanikkan pattu	Positive
288	 Padam kidilan ane oru rakshayumilla pakshe ithpole padam englishilum umd Robot And Frank enn pere athum pwoliyane	Positive
289	 Veruthayayi kashu poyi pratheeshyode arum pokaruthe	Negative
290	 Super mega hit aaayirikkum  mark	Positive
291	 Aaaa mundum pookal shirtum vere arund ithra look	Positive
292	 Trailer kidukki..film ith pole nannaya mathiyarnnu.	Positive
293	 Njan maathramano comment nu like  kittiyo enn veendum veendum nokkunnath	unknown_state
294	 Enta ponno ithu verae level Iove u ikka	Positive
295	 Uff  ente ponoo wait chyan vayye ikka	unknown_state
296	 Ajuvine kandale ariyam on negative role anenn pinne lift kanikkunond aval mikkavarum liftil kanum..	unknown_state
297	 Korach adhikum award kude  undakendi verum enn toonna suraajettante acting kanumbo	Positive
298	 Njan oru mohanlaal fana   Pakshe ith vallathore vishayam filim aaairikkkum	unknown_state
299	 Wow..Maranamaas Trailer  Gopi Sundar bgm oru rakshemilla ttaa...Hit like if u watch FDFS	Positive
300	 Pulimurugam team alle athinta oru chaaya evdokkeyo ondIKKA SUPERMAN PUNCH PWLIYEE	Mixed_feelings
301	 Makkale onnum nokkanda ninghal vanna bakkam enna 1:54	unknown_state
302	 Nayika liftil kudungunnu... Ellaarum oodi nadannu anveshikunnu....	unknown_state
303	 Ith kidukkan aakum...  Eagerly waiting... lub you ikkaa from eattan fan...	Positive
304	 173k views and 173k likes bakki kore mammunni fans 18k	Negative
305	 Mammookaye pole dailog eathu salgilum prasant cheyyan kazhiyillannu ippo eniku manasilaayi	Negative
306	 Trailer kand  romanjam  Vanna ettan  fans like adikn	Positive
307	 ithu oru 5 million views aakkanam..	unknown_state
308	 Thrissur slang paliyenn thonnunnath enikk mathramano?	Negative
309	 America atom bomb itittu thirnilaaa pinaa allee bengalikal!!!!!	unknown_state
310	 Onnum parayanilla pratheshakalkkapuram nammakku asvathikkan pattiya trailer  ethra pravisham kandittum mathiyaunnilla	Positive
311	 Kidu trailer.  iniyulla Kali ikkayude pilleru nokkikolam triple strongode	Positive
312	 Enik. Albudham sidiqane aan 1kodi bajat aayalum. 100 kodi bajatayalum sidiq athil. Kanum. Legend.	Positive
313	 Lucifer trailer erangiya day million views vannapo sudappi makkal endho paranjarunnallo.ikkede trailer onnu vannottu ennu alle?ennittu bhayangara views ahnallo🤣🤣🤣	Negative
314	 Padam pottum... Charithram akanamenkil marakkar varanam	Negative
315	 Prithviraj. Nighal oru marana mass sambavam	Positive
316	 Da mwone madhurajaedatreum varilla ketto .nte vaka ellarkum chukavandanam	Negative
317	 Odiyan iruttinda raja   Enda ethra Kali kandittulladhaan ne    Odiyan odi odi odiyan	unknown_state
318	 Katta waiting madura raja mammokka kidu mass	Positive
319	 Ikkakk..valla  mass padavum cheythude....ithorumaathiri senti...cop	Negative
320	 pora	Negative
321	 Koora Trailer jattimaanii padam pottum 100percent lalappaaaaa	Negative
322	 Ente ponnnuuuuuuu Lalettaaa... baaki oke kili vannit parayam	Positive
323	 Cinema iragiyittum view cheyyunnavar like adi	unknown_state
324	 then : kanji adukkatte manikya       now : Kill that bastard    sivane! :/	unknown_state
325	 Prithiraje than ee pani nirthiko enthon kopile padamado	Negative
326	 Chandhuvineyum pazhashiyekalum mukalil nilkan pokunna oru muthal.. chandrothe ee vellyamamma..	Positive
327	 Maduraraja ikka okke trailer poora Pulimuraganil ninne kure cut eduthittiunde  Villan dadygirija same   Athe irutham	Mixed_feelings
328	 Cinema vizag kandu... Polichu ... Super duper hit	Positive
329	 Onnpodaaa challenge inne undo 1 hour 50 k likes annn  madhara rajj kalikann venda	Negative
330	 Poster kanditt feel good anenn karuthi kanathe vitu	Positive
331	 Mammootty fans polum like adichu pokum adaru trailer	Positive
332	 Lucifer onnil kooduthal thavana kandavar onnu like adikku ...	unknown_state
333	 Havy havy super super kidu kidu 🤘🤘	Positive
334	 Trailer oru rashilla kili poyi laletta poli anitta	Positive
335	 Adhikarappeduthunna gadikaarame. Ithu gadikarangal nilakkunna nimisham. Indian cinemayude mugamudhra	Positive
336	 Raja returnssss makkale....ithu marana mass padamaayirikkum	Positive
337	 Oru poli polikum 21n ......pooram kanan chry abhinaya ......ang por	Positive
338	 endhake paranjalu nammal malayalikalude chungukal lalettanu màmmukkayum thanneyanu laletta kkimamukka kki	Positive
339	 Theriyumile	unknown_state
340	 Oru BEST ACTOR feel enikk maatramaano adiche	unknown_state
341	 Lalettante ittimanikk...njanga ikkayude piller vaka best of luck	Positive
342	 Antony perumbavor undaya monemarayirikum dislike adikunath	unknown_state
343	 Heavy trailer	Positive
344	 Ente laletta onnum parayanilla ningal mass anu..  ningale pole ningale ullu	Positive
345	 Police ne kuttam parayuna	Negative
346	 kidu  katta waiting    mamamookkaaaa	Positive
347	 Ittimani  mass ahnn manasuman	unknown_state
348	 Raavanaaya avane illamdakkan oru mahaa avatharam thanne vendi varum	unknown_state
349	 Enter ettaaaaaaaa ohh onnum parayaan ellaaaaa	Positive
350	 trailer powli aayi.cinemayum angane thanne aavum enn pratheekshikkunnu	Positive
351	 Nanmayum nanmayum thammilalla yudhamThinmayum thinmayum thammilaa yudham	unknown_state
352	 7m subcribesundayittum 3.9m views 5m yethikku plz kandavar onnum kudi kaanuga	unknown_state
353	 Enna bodyaa mamooty iniyum oru 10 ankathinulla balyam undu.	Positive
354	 Njan mathram aano sunny chechiyee kaanan vannath  Sunny chechi uyir	Positive
355	 Super trailer avasanathe idi super  But BGM pulimurugan copy	Mixed_feelings
356	 Ikkaa...  nigalu mass aanu...  pinnem pinnem irunna kanan thonnuvaa....	Positive
357	 Neerali	Positive
358	 Mammookka Nte Look Vere Level	Positive
359	 Etha sherikum Puli Murugan polla udaa	Mixed_feelings
360	 Dis like idunna mammuny fansukrude pratheka sradhkku.raajaye kaathu padakkathinte mahaniya shekram staginte baakil inddu sookshicha dukkkiknda	Negative
361	 Muslingalk idayilum Xristhanikalk idayilum Hindukalk idayilum  Ivanu ore oru pereyyllu.....raja	Positive
362	 ikka dlg delivery oru rakshayumilla ... love uuuhhhhh ikkaaaaa	Positive
363	 Nice...ikka mass   . All th bst #lalettan fan	Positive
364	 Kerala puthya keralam ayrkum but bilal pazya bilal tahneee... ikka	unknown_state
365	 Yudham Nanmayum Thinmayum thammilalla.....  Thinmayum Thinmayum thammilanu..	unknown_state
366	 Dislike അടിച്ചു കുരു pottikkunnavarkk kurupottalaathi kodukkapedum    തള്ള് മൂപ്പൻ	Negative
367	 Views 25k aayitolu.. but like 77k  youtubine vattayo...	unknown_state
368	 I am കട്ട  waiting for ഒടിയൻ	Positive
369	 Vishukk entha special enn aarelum chodichaal ad madhuraraaja aanenn paranjeer	Positive
