	No.	Sentence	label1	label2
2395	2846	Bhai roja ramdan me weit nhi karwate	1	1
1511	1920	Dekhe kise reply karta hai Mr dabang	1	1
870	1115	Kis khushi me tyar hojae bhai shadi ki party dere ho	1	1
2017	2449	bhai 4 to bj gaye kaha ho aap assalamu aly kum namste sastrikal adab	1	1
2040	2472	BHAI AAO AB	1	1
3151	4069	sab asca ah.... :)	2	2
1221	1562	koi dekhe na dekhe hum toh apki iss film ko toh zarur jayenge	2	2
1672	2088	love uuu saluuuuuuu	2	2
3378	4299	sir inshaalllah may ap sy ek bar milon ga.sir ap sy galay mil jao ga.n	1	1
608	798	Bby i love you hmasha milungi yhe mrta dam tak kbhi to rply doga	2	2
878	1126	Hm toh taiyar bs apke tasrif rakhne ki deri h.	1	1
3743	4748	kya likhu han	1	1
685	877	Handsom to hai mera bhai bhai he mera	2	2
1902	2330	Bhai fahara khan ko me hu na ki khani ki jrurat he or vo mere pas he	1	1
2234	2670	Aapko bachpan se hi apna best hero mana.......aapne na aajtak kisi comment ka reply na likes..............aaj sad hoon main.......aap bahoot bhoot hit do....laken main ab sad hoo..aap mere favroute hero rahoge laken ek baar like ya comment de te to accha rehta ........thanku	1	1
729	925	Mujhe shadi karni salman apse plzzzzzzzzzzzzzzzz marry me	2	2
1322	1680	Aaj ki party meri taraf se bhai jaan	1	1
1552	1962	Bhai agar app bholo tu main ap ke traf se sab se mil lita ho kya bholti ho bhai	1	1
2915	3772	Kya baat kya baat kya baat.....!!!!	1	1
434	610	salman itni problem mei bhi desh ki duty ker rhe hai so why not..	2	2
1637	2052	Superp bhai jaan	2	2
3290	4211	HUM HAMESHA AAPKE SATH H BHAI AAPKE LIYE JAN HAJIR H	1	1
2791	3518	bhai realy hurt jab nahi aana tha toh kyu kaha tha u know me ana study chodhkar  1 hour s msg kar rahi mera exam hai kal phir bhi bye :( :(	0	0
2635	3149	Yes sab jhuth hai koi salman khan humlogo se baat nhi karne wale	1	1
2756	3420	hlw salman bhai	1	1
383	550	Thnx sir ji	2	2
3455	4378	Hmto chdnge nai bhai ki movie 1st day 1st show	1	1
3851	4924	suna ha ap sub comments parhtay hain :* <3	1	1
3517	4443	I love you salman khan my aap ki bhut bhut jada fan hu	2	2
59	77	Kiu app apne desh ki paisa ko kharab kar rahe ho..apne desh to ghum ke dekha nehi..aap chale dushre ki desh ghumne..koi vala kam aapse nehi hoga modi g..	0	0
1967	2397	ajao vaai party karte hai tm or hum fans lok	1	1
3417	4339	love uuuu sallluuuu	2	2
3635	4606	sb salman ko doshi kyu keh raha.khud ko sb dekho phle..duniya bs bhaukti hai	2	2
1047	1337	Aur sab kaisa chalra hai	1	1
1365	1729	are zarur sallu kamaal krte ho	2	2
825	1059	Jaldi btao bhai jaan	1	1
2781	3488	mujey pahele aap ki movie bohot bekar lagti thi wanted se sab se acchi lagne lagi aap ki movie bro	1	1
2225	2661	4:04 over	1	1
977	1250	mai chahthi hu kya ki bajrangi bhaijaan film flap hona pukka	0	0
3102	4018	Salman bhai plz muj se baat kre plz plz plz	1	1
1435	1818	very nice salman bai beautifull song	2	2
1363	1727	kafir ki film dekhna haram hai	0	0
3245	4163	bajrangi bhai jaan kaise ho	1	1
3068	3975	Sallu bhai reply do na us ladki ko plz ye mera izzat ka sawal hai plz..plz..plz..	2	2
2617	3129	Sorry frndz salman sir thore bzy hain abi aaty hain 5 mint me.	1	1
891	1147	Salman bhai es songs ko movie me bhi dalo plz	1	1
1616	2029	Vry nce sir. <3	2	2
1642	2057	Luv u bhai...u r so cute....sbki jaan salman khan......... Anitha Parmar	2	2
35	46	modi ji aap ki soch bahut sahi lgti hai progres n hona hi sabki wajah hai is liye sabse zaroori hai ki desh ka vikas ho	2	2
1890	2318	oh salman bhai	1	1
1354	1717	Eid ka zaakat fitra lene kab aa rha hai	1	1
2066	2498	Salmaaannnn pls baat karo	1	1
1661	2077	Hello hay salman brother ey kaya bola aapne h/ m bolo	1	1
2494	2954	kahi aisa to nhi bhai ki aap hume direct ye news doge ki aapki shadi bhot saal pehle ho chuki he n wo apne top secret rakha hai???	1	1
1538	1948	I'm vry exited... only 3 min remaining	1	1
3063	3970	plz ap prem patel ki help kijiye plzzzzz.	1	1
1743	2166	bhai 3:30 tha time to	1	1
417	591	sarkar ko dub marna chahiye ki iss umar mein unhe kaam karna padta hai	0	0
3822	4871	Hij do ka sardar bangaya sala bajrangi kotta	0	0
350	511	desh aapko pakar dhanya hua the iron man	2	2
1387	1762	Sale kafir salam mat kar ... namaste kar	0	0
1127	1442	Bhai ied mubaraq	1	1
1638	2053	bhai aap toh hit ho	2	2
366	531	Sir swach bharat mission ko gawon se shahro ki taraf lao Sir mission ki jinmedaari nagar nigam or parishd ko uttardaitav do Thanks	2	2
2877	3720	Koi dhkta bhi hoga etne comment.	2	2
243	357	PRANAM,JAI HO	1	1
2629	3142	plzz aajaao yar....itna enry roza rkhne me ktm nahi hoti..jitni apka w8 krne me ho rhi h....plzz come na.....plzzzz....	1	1
731	927	musalman ho k... apne log ki baja rha h... ise flop kr do bhadwe ko...	0	0
811	1039	Helo salman bhai jaan.	2	2
2507	2969	Madharchod salman khan randy ka ladka harami kafir	0	0
3127	4044	Bajrangi bhaijaan 2 day 100 cror club me pohch jayegi	2	2
1409	1790	soo sweeet song	2	2
32	42	modi ji aage badho pura desh aapke ssath hai.	2	2
2283	2726	Ek baar maine jo commitment kar di uske baad apne aap ki bhi nhi sunta.....	1	1
3380	4301	salman apki sch bht achi hy.... ALLAH PAK sb thek kren gy .ap preshan mt hn. stay blessed	2	2
2113	2546	Yr salu bhai jaldi idhr pk m loadshafing hojaegi :D	1	1
3155	4073	Sir main mumbai ja raha hun....aapke ghar ke pas jarur jaubga	1	1
693	885	salman khan rock's ss	2	2
1750	2173	bhai jhut mat bol salman kha mere paas bethe he yaha delhi me ullu	1	1
355	516	Ek bar Bihar ko bhi dakhie	1	1
2345	2790	AaP nahi aaoge	1	1
544	727	mera bharat mahaan padhega India tabhi to aage badhega India	2	2
550	733	Salmaan sir bole or kaam na ho..sawal hi nhi ho skta...god sir Aap to sir..my god	2	2
2822	3629	Fake fake fake fake	0	0
2257	2697	dabang 3 ? Kab	1	1
2013	2445	Intzar....... ho gye mere salmaan.... sir ki aae na kuch khabr sir ji aapki........	1	1
3294	4215	Lagta hai darr gaya#UTurn	0	0
2198	2633	i hop ap reply jrur kroge..ap apne fans ka dil kbi nai todroge	1	1
1018	1300	Warna tumhari khairnah ha or waisabi eid to abi nahi hai kuch Dino baad hai	1	1
2042	2474	Helo salman.sir	1	1
278	411	Apke niti se ane wale salo me bharat sabse age hoga... Or apki widesh niti bahot hi badhiya h...	2	2
527	708	Wow kya baat h itne comment maza aagya re baba re from khushi hasan nd my real name ruby hasan	2	2
3225	4143	lovee uuu salluuuu	2	2
703	895	Salman murda bad	0	0
3468	4391	koi gal nai mujhe pata hai aap bahut busy rahte hai all the best veerji	1	1
306	456	Welcome back Mr pm.ab kitne din rahenge India me???ye paisa kisika baap ka nehi hai.hamara hai.hamare paison Se bidesh ja kar ghumte ho saram nehi aati???	0	0
1770	2194	sir aap Lucknow kab aarahe ho	1	1
526	707	Kamal karte ho yr bhai	1	1
2548	3023	I think world big.great fan of sall bhai is me..Bhai ka dost mera dost.Bhai ka dusman mera dusman.Bhai ka bro mera broBhai ka sis mera sisBhai ka wife mera....vabi :D	2	2
3100	4016	miss ho gya bhai	1	1
1074	1370	Tumne bhi kabhi saath nhi diyaa to mai akhir galat ho he gai cograss	1	1
1877	2304	Salman Khan se live baat .... mujhy lg raha hai ky khuwab hi hai mera itnay bary star ......or hmsy baat wah.....	1	1
1779	2204	Bhai apse ek sawal aapne aaj tk apki ek bhi movie me apka real name kyu nii rakhe	1	1
2489	2949	Mujhko prr ek ehsan krna k mujhse kv shadi krne ko na kehna :)	1	1
3418	4340	Jise bhi apne profile pic par 1000+ like lena hai add kar ke massege karo only indians	1	1
3195	4113	Aallah qasam salman khan agr bt ni ap ne hm se tou aaj k bd main khbi apki ek film b ni dekhunga aate q ni ho	0	0
498	679	:'( :'( :'( :'( :'( tum gande pati ho bhot gande I hate u I really hate u	0	0
3023	3919	Sb kh rhe h fake id fake id . Aap ko proove krna chahiye aap hi ho.	2	2
2965	3840	bhai jaan aaye kya	2	2
3212	4130	hhaha mjak mt kro aap ka phone off aa rha hai salman bhiya	0	0
3752	4759	salman khan Tera jo being human ka fashion show kiya tha us mein ek model Dress pehna tha jis mein ALLAH likha hua tha, jab se hum tere se nafrat karte kamine sale salman khan kutta	0	0
3782	4798	Guyssss meri profile picture kesi leg rahi hai..???	1	1
3771	4783	gdrrrrr awaz salman bhai kiiii love u sallu	2	2
1857	2284	Kamal kartey hoo.Jab bhai ayenge tou awaaz tou hougi hii.waiting for the Wright time.	1	1
2833	3641	plss salmAn rply kr do ....<3	2	2
1783	2208	#aaj #sabhi #superhits film.dekhane chale #bbthiseid #superdupar film	1	1
1153	1474	nice pic bajarangi bhaiya	2	2
1753	2176	ok.bhai mere pass bahot sare questions hai...	1	1
668	859	Sir aap humanbieng chalate hai aap paise dete kab tak jab tak aap hai.mai apko aisa rasta bataunga sab karodpati ban jayege.	1	1
1176	1503	Bhai musalman hone ka to faraz nibha deta brother	0	0
253	373	Or kuch ho ja na ho par j bnda sarkari paise par duniya jarur ghum lega.	0	0
1862	2289	bhai just ek baar hi bol do	1	1
3660	4636	I love Salman khan i love india	2	2
1931	2359	Sallu bhaijaan ko salam	1	1
131	184	Ghandhi gandhi gandhi aakhir ye gandhi hi kya ek logo ko bewkuf bana kr des ko bechne wala	0	0
3775	4789	luv u sir. wah sir kya baat Hai. lovely voice. superbbbbbbbbbb idea.	2	2
2919	3776	Pata ni kabhi meri b kismat mehrbaan hogi or me b bhai jaan se mil paunga..Ae khuda. Raham..:-) <3	2	2
2650	3182	Ap tak pakistan si snd ki hov cheez pohnch jata ha ya nhe	1	1
3717	4716	Salman bhai ki produce ki huvi movie achi na ho ehsa ho hi ni skta....	2	2
3399	4321	aap galat na the, na ho, na hi hoge. bhai aap ki sadi ka intijar pure world ko hai .kab super duper news de rahe ho aap.	1	1
687	879	Dost apki har ada achi lagti h	2	2
3000	3890	Aap koun saa phone use karte ho that is a useless phone......mera message aapko display nhi kar paa rha hoga...warna aap to reply karte hi karte....	2	2
1195	1532	okk bhai jaan...:)	1	1
2849	3669	Kis kis ko rply denge salman...uffffff....jisko salman bahut achha lagta hain usko dena....	2	2
807	1033	No.diziye whatsupp ka photo bej dete hai	1	1
248	367	mai aap se milta chahta hu lekin mai mil nahi pawga	1	1
1605	2018	We love you Salman bhai <3 <3 <3 <3 <3 <3 <3 <3 <3 <3 <3 <3	2	2
2925	3783	sir ek spna h zindgi m ek bar milna h aapse	2	2
2330	2774	bhai kaha ho ap	1	1
859	1100	no way...pura ek mahina ramzan ki ibadat k baad eid mey aisi movie kon dekhega jaha hanuman chalisa padhaa ja raha ho....	1	1
2676	3252	Hii 4 bj gye h	1	1
3737	4741	1 no trealir bhai	2	2
3118	4035	Kisko bol rahi ho	1	1
422	596	Ye batao 60 Saal main congress ne kya kiya ;)	2	2
3808	4836	bhai ki bat hi alag hai. . .sb se hat k. . .bhai salman. . .	2	2
398	566	Modi ji aachi suruwat hai skill India program we heartly congratulated.	2	2
2876	3719	aao salman mujh se milne	2	2
3346	4267	OK Alia Bora mtmano sujao khoda Hafiz by Mafi mangne ki adat nhi samajjao byyyyyy....	1	1
2528	2996	Bhai k sath baat karne ko taras raha hu yaar	1	1
1901	2329	Kon kareaga rea terea sath bt tujhsea acha dog sea bt kr lu	1	1
733	929	Bhai apks bazrangi bhaijan movi song verey nice	2	2
1847	2274	Ap ko pakistan si kch behja tha pata nhe ap ko mila ha ya nhe	1	1
2947	3815	Aap shadi kab karoge yaar :(	2	2
3140	4057	Lage raho sallu bhai	1	1
2980	3858	ab iftari bad hi karna agar chat karna hai to...	2	2
144	200	P.M.NAMO NAMO Aaj aapki vajha se saare Duniya Ghunj uthe hai only MODI MODI Thanks	2	2
1867	2294	Bhut pyar krte hai hum aapse...bs aur kuch nhi..	1	1
2572	3061	ho gyi party sabki ... ab aaram karo...bhai so rhe ha...	1	1
2633	3147	Kamaal karte hoon salman ji aane ka irada hai ya nai	1	1
2565	3050	bas ab ek hi baat h kolkata jldi ana plz	1	1
2771	3467	Bajrangbali ki vakt , kavi jhuut bolti nahi , toh aap kaise bola ?	1	1
1466	1862	Love u bhai jiii salman khan	2	2
726	922	bhai tum shahi ho	2	2
991	1268	Apki movie me sbko bolna hai jai siya ram tab eed manegi acchi...	1	1
3756	4765	I shw ur movie trailor i like ur al movie.	2	2
2621	3134	O pagal ye asli salman khan thori hai  :-)	0	0
2604	3106	kya sallu bhai baat krne ki bola lekin reply to kisi ko kr hi nhi rhe	0	0
2550	3025	Bhai aao na	1	1
2962	3836	commitmnt kr k bhul gye kya??	2	2
1777	2201	kya bhai sb kaam nipta kr aya tha ap se bt krne 3:30 ko or ab ap 4 pm.. chlo koi nhi ab 4 bjne ka wait krte h :-)	1	1
1810	2235	Kya bat kare aap se bhai sahb aap ne to apna wajod hi badal dia Fir bhi thanks for massage	2	2
1281	1631	Yar ji karrha h	1	1
2337	2781	I know bhaI jaan ka hamesha ki tarha net khrab ho geya hai	1	1
2812	3615	watch band pad gai kya bhai aapki ....mere pass b thi apki jaisi ek bekar watch..maine OLX pe bech di	2	2
2896	3746	Huhhh Watse our time ..... 3:30 se 4:00 Or ab tk ata pta nhi	0	0
1186	1519	m musalman ladki se shadi krna chahta hu mare age 25 hai plz col me only ladki 09818463635 from (hp)	1	1
2367	2814	Abitna bhi kya sharmana	1	1
2938	3803	Milna to ek bar yaad rkhna bar bar	2	2
1198	1535	kiya koi bata sakta hai india Time 3:30 pm UK time kiya hota hai??	1	1
1459	1848	$@lute ! Uss jausbay koo jo Hindustan key Dil main bustaa hain.	2	2
2872	3712	3.30 baje kaha or ab 5.30 bajane wale h abi tak aap nahi aaye kitna wait kare salman .i really love u salman	2	2
40	51	Aisa PM naa hua hai aur naa hee hoga kabhi. .	2	2
3270	4189	<3 iloveee yooou	2	2
1789	2214	oo bhikari.....kya bola tha tu muje muslaman ki zarurat ni nai abe sale tere jaiso ki musalmano ko zarurt nai hai	0	0
351	512	sir m aapka chuta sa fan hu par kuch bhe kar sakta hu	2	2
327	482	Ye photographer thak gya h kya .. blurred photo aayi h ...	1	1
3790	4809	Nic pic salman	2	2
933	1198	Slman kya tm waqai musalman ho agr ho tu muslmano ke naam pr dhbba ho	0	0
1274	1623	Eid mubark ho salman jii I love you salman.mai apse ek bar milna chahti hu salman jiiii meri yhi khwaish h salman jiiiii	2	2
384	551	Kam me visvas karti hai bjp	2	2
2447	2904	Hum dil de chuke sanam....	1	1
104	145	Modi ji apne ye to kaha diya ki Jo saksham hai vo subsiti na le Main sahamat hoo per please Ek bar himmat juta ker bol dijiye Jo saksham hai vo arakshan na le	2	2
3797	4820	Sabka 1 bhaijaan	2	2
633	823	aaj ki party meri taraf se nice song bhaijaan	2	2
1969	2399	SUNO SAB CHUP JO JAO BHAI AANE BALA HAI	1	1
1700	2120	hi sir kesey hai aap n aap ki famliy i hope aap n aap ki famliy sab theek hon gey god blees u n best of luck for ur film bajrangi bhaijan super hit film this year .......	2	2
130	183	Bharat mata ki jai	2	2
2642	3166	Bhai log maine abi suna newz me salman bhai bole jitne v mri fan hn wo Nrzz na ho I'm just coming esa hi bole..	1	1
293	435	Sir reconnection ke liye fir se jaana pad sakta hai kya ?	1	1
881	1132	Haaa bhai hoooo gyi party aaj ki	1	1
700	892	Hye meri cutey	2	2
1323	1681	Haste raho haste raho	2	2
963	1235	Or me bhi indian hu kon hota he ye jo musalman ko gali de or khud ko musalman kehta he jaheel	0	0
3420	4342	Apake upar bharosa hai.. ..bhai! Aap koi galat kam nahi kar sakte.. .. !	2	2
2616	3126	abhi 4wje nahi aap ke?????????????	1	1
2523	2990	bhai plz aa jao	1	1
3523	4451	Salman bhai 1 no	2	2
973	1245	Abhi easvariya ka bhut utra hi ni he to tumko kaha se milega	1	1
210	296	AAJ mere desh ko anteraatma SE jaga hua honable PM mila	2	2
77	106	Addd mee frnds	1	1
2901	3752	Pehle main milna chahti hu	1	1
2690	3287	Bhaijaan aap nahi aaoge toh, apke name pe high court mein case kardungi ....	0	0
3001	3892	salman sir aap aiye b nai baat karne :(	2	2
3234	4152	Jaha bhi jay hit pe hit ho jay only sallu bhaiiiiiiiiii	2	2
3154	4072	plz cm bhai...hm sb wait kr rahe h apka	1	1
142	198	ek aayas admi tha nehru	1	1
1689	2108	salman sir plzzzz sir madat kro sir mai 4saal se aapka number dhoond raha hu sir plzz madat kro mere parivar ko aapki jarurat hai salman sir plzzzz sir....yeh mera no...hai ..,.7355458113	1	1
2015	2447	Bhai 4 baj gaya bhai kaha ho bhai? Please reply karo na bhai	1	1
1749	2172	In logo pr itna tym kha jo hmse bt kre	1	1
1836	2263	bhai jaan jai bajrangbali apki movie jarur blockbuster hogi	2	2
586	772	h0w are y0u my freind kese h0.	1	1
2427	2883	bhaijaan kha ho	1	1
3458	4381	Sir apse milna hi h mujhe kaise bhi karke mujhe bht tklif hoti h sir schme ab or nahi saha jata agr aap samjh skte ho to please mujhe jarur milna h...apki fan Geeta Rawat....	1	1
2363	2810	sir pls ek reply de do....main to ish khushi se hi pagal ho jaunga....pls sir,pls..i beg to you.	1	1
66	90	JAY JAY HO BHARAT	2	2
69	94	jaldi aa kar vyapam par kuch kijiye nahi 45 ke paar hattyayen pahuchne wali hai	0	0
935	1202	Dektha hun kaise release karega movie	0	0
1355	1718	uff mashaalllah killing look bhaijaan	2	2
1807	2232	Salman ji apka favorite gAna konsa hai bajrangi bhaijan film ka?????	1	1
2241	2678	4 baj gaye lekin bhai abi aaye nahi...	1	1
3584	4525	suwar ka bacha	0	0
954	1225	agar sachhe muslman ho to eid ke din is kutte ki film mat dekhna.	0	0
1946	2375	7 mnt or	1	1
1045	1335	Uske baad last mai apne liye kuch lelungi	1	1
2537	3010	Salman Khan Facebook py nh hen. Unho ny apny interviw me kaha tha.	2	2
3138	4055	Sana aa gaya tumara nakli salman khan hahaha....	0	0
1871	2298	Han sallu bhai...ye abhijeet ke 2lagao....bakwas pel ra tha usdin....kese dost bna rkhe ha jo apse mel.ni.khate....u r a philanthropist and he is misanthropist	1	1
2425	2880	Unke namkaran ke time sab jan the kya sallu sallu what????	1	1
3055	3962	Hyd mai sabse ziyada apke fans hai salman hum to bajrangi bhaijaan zarur dekhngeeee	2	2
3500	4424	sab ki aan sab ki shan sab ka ek bhai jaan ,,,,,,my bro salman khan	2	2
244	358	GOOD MORNING TO ALL OF UP M SHRI NARENDRA BHAI MODI JI JAY SHRI KRISHNATHANKS TO BOTH OF USANGITA PATIL MLAVIJAY KUMAR Vicky Mavan SoniJAY SHRI KRISHNA	1	1
2559	3037	nirash kar diya	0	0
238	343	Kabhi ghar me bhi raha karo modi ji?	0	0
3335	4256	Tension nehi leneka vai,kuch bhi ho jaye,kuch bhi loog kahe hum hamesha aapke saath hay,ek aan,ek shaan ek hamara bhaai Jaan :*just waiting for Bajrangi Bhaaijaan :)Love and Respect From Bangladesh..............	2	2
1151	1471	Super duper hit hai bhai ...	2	2
1237	1581	Sallu bhai aapka no.... chaye	1	1
1694	2113	Bhai ..kab bajen ge 3.30	1	1
551	734	Ek rply to kar do salman g ... ab to dekho sab ko pta chal gya.... lakin aap ko kab pta chalega	1	1
1498	1906	ye to bajrangbli ka kutta h ye h musalman nhi tum kaafir ko pasand krte ho mujhe nafrat h aise logo se.....	0	0
660	851	Salman bai ap kese hen ma b ap ka fen hun	2	2
3495	4419	Me tumari movie nahi dekoga jabtak ke app mujse batnahi karte	0	0
1078	1377	Isna Muslim ko chalang kiya ha iska movie koi. Mat dekhna agr tum sab Muslim hoga to nhi dekho ge	0	0
657	848	Saale salman tu musalman ke khilaf hokar bohot niche girega	0	0
249	369	modi ji kese ho ap.. videsh me apka dheyan rakha ja raha hai na sir.. sir ap please jaldi se ajao fir maan ki baat karna I'm waiting for it sir.. take care sir	1	1
1028	1314	Ashu Sing tumhari saat howa hoga tum logo ka Mandira mai haaaaaaaaa	1	1
3222	4140	Kya hua tera wada...hmne to suna tha ki aap ek bar commentment kr dete ho to khud ki b nhi sunte bolo sallu bhai..kya hua. Aaj ka wada bat krne ka	1	1
636	826	bhai kabhi to apne pas bhi to dekho , khudko bhul jaoge he he	2	2
1858	2285	you are great,Bhaijaan......love u bhai,love u bhai,love u bhailove u bhai,love u bhai,love u bhai,love u bhai,love u bhai,-V E R Y MUCH....	2	2
1003	1283	salman khan ek achhe enshan hai mere bhai hai	2	2
735	931	Teri film flop hogi dekh tu ab salman khan	0	0
3107	4023	Hiiiiiiiii Salmannnnnnnn ji meri ma aap ki BIGEST fan hain main aap ke sath baat karna chati hoon	2	2
1804	2229	ek din m apne ganv se cycle chalake milne aa raha tha aapse. Abhi m Julwania mein hoon sir .	1	1
1630	2043	Insha Allah blockbuster hoge abki bar 300 cross Paar bajrangi bhaijaan	2	2
195	271	Mr. Pm hme aap par graw hai. Manish kumar, nasriganj	2	2
3090	4002	bhai jaan aap raipur aaoge kya	1	1
1930	2358	hahaha...feeling osmmmm	1	1
1192	1528	Bakwas actor ki bakwaas film	0	0
1042	1331	Bhupender bro sahi keh rhe ho isse bada chtiya mene apni zindagi mai nhi dekha yahi hai chutiya no1	0	0
364	529	Sir plz JHANSI ki bijli vyavstha thik Krane ki kripa kre, dhnyevad.	1	1
1861	2288	Kaise muge bhi apse baat krni h ...	1	1
70	95	Salute you sir app bahut mehnat karte hai	2	2
621	811	Salman bhai boleto rock star	2	2
180	250	Modi sirf naam he kahi hei	2	2
3633	4604	i m ur big fan.kash ek bar apko dkh pati.aur mai zarur augi ek din	2	2
1036	1322	to tera matlb har bura kam karne vala aadmi musalman hota h Great thinking h bhai my midle finger salute u	0	0
752	954	Duniya me sabse acha kon hai to o sirf hamara veer Q ki o sirf Dil ki sunta hai	2	2
3242	4160	Ye pakistani bchchi ko ap pakistan apno se milate hain dil khush hojata h dekh kar pori film dekhy gye to mza ajay ga sir	2	2
1440	1825	ap b piyray ap ka gana b piya ho ga am frm pakistan	1	1
2943	3809	Aajao na bhai kahe sarma rhe ho	2	2
3329	4250	Hmare bina tera koi wajood nhi #salman ...sale pathano k nam p kalank h tu	0	0
193	269	Me bhe aap ka bahut bada dewana hu	2	2
3383	4305	Ab eid celebrate krta ha kiya ramzan ka roza b rkhta ha.kyn k eid ka maza tb hi ata ha jb ramzan k roza rkho.	1	1
2186	2619	Bhai majak tha kya? ;)	1	1
2018	2450	aaj ki party bhaijaan ki tarf se fb par	1	1
3253	4172	bhaijaan aap awesome hi	2	2
1431	1813	inki film inkey naam pay chalti hai naam hi bahut hai superhit karaney kay liye	1	1
3533	4464	Tere lahor se mahga hamara gav h be ja apna kam kar	0	0
22	28	Kash ye sab bangladesh aur pakistan b gate toh kitna acha hota	1	1
1995	2427	Muj ko ap sab ke dowa chahiye fans	1	1
3391	4313	Bhai ajkirat appkesat	1	1
919	1182	Allah ap ko apna haveza aman ma rakha	2	2
3438	4360	salman bhaiya aap shadi kab korogi? me apki shadi ki barat me jana chahta hu	1	1
1737	2160	AAH Salman aaj 4 bje khana benana he kel ka time rekhlo dear subha 11 ka aaj nai posible plz try to understand	1	1
3431	4353	Shadi kr lo wrna firr na hogi	1	1
3834	4891	Kya chutiye log hain Jo ise eid Mubarak bol rahe hain is kamine ko kya mlm k ramzan kya hai aur eid kyu manate hain...ise to sirf paison se mtlb hai	0	0
1256	1604	Salman bhai aap kamal ho	2	2
3241	4159	Asalamwalaikum sallu bhai aap hai logo ke baato ko dil par nakko liyo chahay kuch bi ho jaye mai aap ke sath hu ok ur the great bhai great handsof 2 u luv u sallu bhai	2	2
2138	2571	Abhi nai bhai	1	1
582	768	assalamualikum jumma mubarak	2	2
822	1055	bas bhai 24-25 ke lag rahe aap to .	2	2
216	305	mahan bibhutiyo ko naman karna sacchi dhridhata ka sabse anmol marg hai .aapko sadar naman	2	2
188	261	I love u.modi sir jankibhi jarurat ho to mang lena haste haste.dedege aap ka subh sintak	2	2
677	868	plz cal sallu bhai bangladesh big fan me plz cal +8801719447771 jai ho	2	2
2981	3862	veerji i miss u apne ne baat nai ki jane dijiye koi gal ni	2	2
1974	2404	bhai sahab aayenge	1	1
2477	2936	Bhai jaldi aa subi se waiting	1	1
745	944	teri aukat kya hai khabbis jo ham musalmano ko nich bolta hai	0	0
87	119	Faltu time nahi hai	0	0
1714	2135	Bhai plzzzz jldi a jao	1	1
2376	2825	Bnai aap keh rhe ho ki me muslmano ke bina bajragi bhaijaan hit kroga yhe sach h..	1	1
3163	4081	Salman Khan apka dil sch me pure water jaisa hai	2	2
1880	2307	Sach ka samna .roza he ke nahi ye batao?	1	1
3736	4740	Bekaar hoe gi	0	0
2373	2822	It's 4:10	1	1
2576	3066	Hum cnfused ho gaye kya aap baat karenge au hum off line hye jai.	1	1
1943	2371	awoo kare baat salman ke sath`-?	1	1
