	Unnamed: 0	Sentence	Label
56	56	aarum sanjarikkaatha vazhikaliloode nivin sanjarichu thudangi	Positive
57	57	pwoli songatto ethra kettittum mathi varunnilla	Positive
58	58	ithokke school pillerodu pooyi para	unknown_state
59	59	poyathu poyi ente kayil oru mookuthiyund. edukatte	unknown_state
60	60	song kollam ...but dance aru boru...	Mixed_feelings
61	61	amala paul  nte aadai cinemayum aayi saamyam thoniyavar undo?	Mixed_feelings
62	62	njanoru lalettan fan aanu eth dislike adikan thonunilla ikka pwolichu 0:32 mass and stylish	Positive
63	63	kurre  ekka duranthangla unlike thudangitt indalla	Negative
64	64	maranamass trailer  ettan powlichu supper kidukki  love you laletta	Positive
65	65	njaan eee padam kaanilla kaaranam ithinte director ajay vasudev‌ aanu	Negative
66	66	surajettan sound modulation kurach koodi nannakamayirunnu	Negative
68	68	pirates of the caribean ramgangalu‍ kaanunnundalle?	unknown_state
69	69	comments vayichu chirichu oru paruvam aayi	unknown_state
70	70	33k kurugal kanunnylllle dislike🤣🤣🤣🤣🤣 duranthngal pyaavam lavanmarude pramughanu youtube views illathente sangadam aavum	Negative
71	71	mammukkaye konde kazhiyu...  iddeham  oru  mahaa vis‌mamaya  maanu,,,🤣, maari mariyunna vesha bhavangal🥀🥀🥀🥀	Positive
72	72	kurachu sinimakal pakshe abhinayikkaan arinjoodaa jeevichu kaanikkaane ariyoo .. abika ningal bhagyam cheytha uppaya	Positive
73	73	o ikka polichu 68am vayasillum mass lookka	Positive
74	74	aduthurangiya pala thamizh tharillarukalude oru chhaaya thonniyo?  awesome trailer...let it be a game changer	Positive
76	76	eee paatt job paadunnathu kelkkaan oru aagraham..... :)	unknown_state
77	77	aww.... enthokya ee kaatikootunnathu. poottile  trailer aayipoyi	Negative
78	78	eee trailer bigg  brother editt cheytha marangodane onnu kaanichu kodukku	unknown_state
79	79	santosh‌ brahmi kazhicholoo. evideyaa vachathennu appol kittum	unknown_state
80	80	oru songil tane itrayum comedy apo onam ittymani kond poyi enu paranjekk	Positive
81	81	orru addar movie ayyyrikkum ithuvarre kannatha orru ayytam	Positive
82	82	trailer kidu kidu pakshe movie athippol kandariyaam	Mixed_feelings
83	83	njangade swaasoonte bigg‌shh‌kreenilekkulla oru ponthoovalaavatte...  . pmj   . all the  best muthe  aakaamshayode kaathirikkunnu....... swasuuuuswasuuu	Positive
84	84	idhanu njanga paranja nadan ivananu nadan  #mammootty	unknown_state
85	85	ennaa patada uvve  ingal abhinayikkuka thanne aayirunno?  ithu sinima thanne aano?  serikkum paranjaal 100roopakk ticket eduthaal naalu chettanmaarude jeevitam kaanaam	Positive
86	86	16 k..  mammooty fans thayolikal dislike pooranmar	Negative
87	87	paattil unni achyuth sudev okke oru duroohatha aanallo	unknown_state
88	88	padam veruthe poliyanu..... njn ethuvare kandathil vechu ettavum poli padam ethanu... oru kutavum parayanilla youthanmaraya njagalku sherikkum eshtyi.. polipadam onnukoodi nale kanunund...	Positive
89	89	tiyaan & kammara sambhavam  #lucifer lallettan fance  like here	unknown_state
92	92	tickets edukkan chaver akendi varoonna thonnunne	unknown_state
93	93	nammal ettan fanzz. strong aanu athu angott kanichu kodukk. haters okke odikko. ettan lovers like comment	unknown_state
94	94	eppolum expectation koodumbol film palapozhum flop aavara pathivu...trailer athrm nallathalangilum film adipowli aayrikumnnu vicharikunnu..	Positive
95	95	ikkante makkal onnu like adichu poyee	unknown_state
96	96	trailer  thanne 100 vattam kaanan thonna..... padam poliyaanu appo...🤘🤘🤘🤘🤘	Positive
97	97	vineeth sreenivasan chetante cinema aano...nkil padam kiduvarikkum	Positive
99	99	pakka poli nigal entha manasilakiknath keraliyar k buthiyillalae thani thedrit pakka fillm thani poli film	Positive
102	102	adth psycho vendi katta waiting 🤣🤣🤣	Positive
104	104	this film is gonna b another turning point in jojus career. jojuvinte abhinaya jeevithathile adutha naazhikakkall!	Positive
105	105	kaalangalkk shesham malayaala sinima kuttikal enna vibhaagakkaare kurichu oormmichirikkunnu! eee chithram kuttikalude christumous avadhi adipoli akkatte...ashamsakal	Positive
106	106	watch #orevidhi malayalam shortfilm	unknown_state
107	107	oru nalloru trailerine editt‌ cheythu kulamakki pinne ithilupoyogicha fonting sheriyalla...	Mixed_feelings
108	108	ittichane kandidu trailer kaanaan vannavarkk like adikam. oru 100 likeenkilum kittuvo..	unknown_state
109	109	bigbrother nte ardham vallyettan ennalle	unknown_state
110	110	katta lallettan fana..ennalum trailer kollam variety ayitund.nice bgm....	Positive
111	111	eee viidiyoo thaazhe kamant cheiyunna ellah koottukaarodum njaanum youtubil videos idunnundu samayamundengil videos kandu nokkanam ishtappettaal maathram support cheyyanam oonam	unknown_state
112	112	ithonnum nammalu prolsaahippikkilla ikkaa... sheriyallengil ikkayaayaalum thiruthanam...	Negative
113	113	urutam sounded a bit funny korachum koode punch avarunnu still super movie villain njerichu super	Mixed_feelings
114	114	realistic padam kandu maduthu eni korachu mass aakam	Mixed_feelings
115	115	ettante bigg bradarinu kunjikka faansinte vijayashamsakal	Positive
116	116	ikka oru rakshaumilla ithe kalakkum  raja da.....	Positive
117	117	ajay vasudev enteyokke ganathil pedunna oru phaan..aanu...vere arelum undo eee ganathil	unknown_state
118	118	pulimurukan chaya kachiyathu pole thonniyathu enikku mathramano...	Mixed_feelings
120	120	maduraraja enna comedy padam 300kodi varum	Positive
122	122	prayam oru number maathram thalivaa	Positive
123	123	dislike adicha....... kal poyi 1080 p itte kaanada naayikkale	Negative
124	124	ikka arya prithi surajettan puthiya payyanmaru ahana ellarum pwolichutta	Positive
125	125	ikka mwuth, shylock idikkatta waiting	Positive
126	126	entamooooo padammm kidukiiii oru rekshayum illa kidilannnnnn	Positive
127	127	eee patino abhinayathino oru kuzhappavum illa	Positive
128	128	teaser ishtapettavar ithonnu  kaanuka   phaans‌ like‌ here	unknown_state
129	129	odiyanekaal kooduthal kanji vendivarum lucifarine	unknown_state
130	130	last aa chadi adi.... uff.        frm an ettan fan	Positive
131	131	trailer lagging anenkilum padam vijayikkumennu vicharikkunnu  all the very best	Mixed_feelings
132	132	bobby shemy saji    bonny	unknown_state
133	133	pinnem pinnem kaanaanu.... mathiyaavanillaaaa.... katta waiting thudangiii ..... polichadakkanottaa......	Positive
134	134	honey rose neeii kandappol thanne desperate aayi.	unknown_state
135	135	ithu film aano real aano  mammukka pwoli	Positive
136	136	perr  kand trailer nnokkan vanna thrissur karr like adik🥰🥰	unknown_state
138	138	ivareyokke kaanumbozhaa aaa baalakrishnaye okkeyeduthu kinattilidaanu‍ thonnunne	unknown_state
139	139	dileepinu ee santa vesham nannayi cherunnundu  my santa kuttikalkku ishta pedunna oru cinema ayirikkum ennu karuthi.... athukondu ee cinema kananam ennonum indayirunilla.  but ento trailer kandappo vallandu ishtayi.....    dileepettan  magic	Positive
140	140	ee padam... gambheera hit akum.... allenkil ghambira flop akum...	Mixed_feelings
141	141	ikka hvy  vere lvl trailer	Positive
142	142	oru katta local padam loading aanu makkaleyy🤩🤩🤩	Positive
144	144	asooyamootha laalunnikal kuthiyirunnu dislike adikkunnu .poy chaavinadaa	Negative
146	146	dislike adikan keri like adichath njaan mathramaano?	unknown_state
147	147	eee paattin enthaa kuzhappam? kittukkaachi paatt	Positive
148	148	1:34 side ill nikkunnath prithviraj alle	unknown_state
149	149	laletten fan anu pakshae trailer oru rakshayilla ikka look poli	Positive
150	150	booas‌offeesil inii asurante poondu vilayaattam kaanaam ithu ajay vaasudevinte ettavum besttum ettavum kalakshanum kittunna moovi ayirikkum ennu urappullavark like  adikkaanulla comnt	Positive
151	151	ayyeeee....dialouge presentation ottum illa....evan enge nayakan ayi? lalunni....evanano swayam complete actor ennu vilikanee.....myran	Negative
152	152	naattilum sinimayilum okke ippo  saikkokal aanallo daivame...	unknown_state
153	153	lalettan fan aanu. lucifer thakarthu. ithum adipoli aakatte ennu aashamsikkunnu...	Positive
154	154	ethra kandittum mathiyaavaatha oru aaaa taar item	Positive
155	155	swantham achanu kaanan kazhiyanja vismayam... thante makan...  shain nigam	Positive
156	156	lucifer ...rajuvettan malayalcinemakku nalkan pokunna ponthuval .....lalettann awaiting ....for your devil lucifer	Positive
157	157	koothara mass padam.. oru simbha touch	Negative
158	158	ijjathi...ente ponne...namichu ikka nigale...mamangam maha yudham	Positive
159	159	mamooka fans like adikan ula place	unknown_state
160	160	seane 1.03 chemban vinod kurangan  kaanichappo manichettane oorma vannath enikku mathramaano.  oru 50 like‌ taramo	unknown_state
161	161	salimkumar comedy verupikkum enna kariyathil urappayyi	Negative
162	162	nammukk nashtapettathu enthokkeyo \r thirichu kittiya feeling...... camera, backgrund music suuppar	Positive
163	163	angamali diaries + amen = porinju mariyam jose!!!!	unknown_state
164	164	baiju annanum ithilum mass dialog undakuo...like lucifer	unknown_state
165	165	trailer kandittu padam flop aakumennu thonnunnavar aarokke,,	Negative
166	166	powli powli powli....midhun manuel back again	Positive
167	167	compelete mass making oru rakshayumilla.  raju ettan mass vimarshichavare vayi adappicha shilamea ollu raju ettanu	Positive
168	168	nalla mootha enam aanenu kandapo manasilayi...shoka padam	Negative
169	169	soopparstaar ennaal ayal  maathram poraa. athu nilanirthukayum venam. angane nokkiyaal manju lady soopparstaar thanne	Positive
171	171	2019 ll keralatthile first day collection thiruthikkuricha 10 sinimakal	unknown_state
172	172	ithil mammootty rajani phaan aanennu thonnunnu	unknown_state
174	174	eth nammuk ikka fansinu oru pwoli pwolikkanam....	Positive
175	175	veeendum veendum kaaanunthorum veendum kaanan thonuna lahari....	Positive
176	176	ee varavu bollywood ine thakarkanam enn ente mathram aagrahamavilla	unknown_state
177	177	ikkaas best actorile pole feel cheyyunnu	Positive
178	178	sambhavam toop aayittund.  njaan naale theeyettar pooyi rund vattam kaanum.	Positive
179	179	chekuthanmarude rajavu lucifer @lalettan @rajuvettan #romanchification	unknown_state
180	180	0:12 scorpeo vittu oru kalii illa	unknown_state
182	182	ethra vattam keettu enn enikk oru idiyayumillaa	Positive
183	183	ee cbse mammunji pellare etra muttiyalum goven ment schollela pellaruda adute atella	Negative
184	184	aaa kuttikalude bombe seenil oru kgf mayam thonniyavar undo??	unknown_state
185	185	mamangam mohanlalum marakkar mammookkayum ayirunnenkil.ith chanthuvine ormippikkunnu	Positive
186	186	ente ponnu pushkaretta ningal aaa gcc release date koodi onnu parayunne....	unknown_state
187	187	making video kanda shesham vannavarundo ......	unknown_state
188	188	steefan nedumbally aayi mass kaanicha eee manushyan aanu ittichaayan ennu vishwasikkaan prayasam athra maari lalettan...	Positive
189	189	adipoli super  bgm no raksha	Positive
190	190	national award nomination njan manakkunnu. acahyanum	Positive
191	191	idum kuudi 37 aamathe repeat adi	Positive
192	192	oru rakshayum illa..joli kazhin ksheenichirangiya enik ippo oru energy okke thonunu.. #mamangam	Positive
193	193	madhavan kattathaanengil chekku vittu pooyikkaanilla. pappettanta parambile pottakkinattil undaavum	unknown_state
194	194	1.28 leeii bgm laila meeii laila songumaayi bandham thonniyavarundo	unknown_state
195	195	enthu prahasanam  aanu  saji	unknown_state
196	196	adaar camera...shyju khalid fans adi like	Positive
198	198	kandu....nalla movie....suraj oru rekshayumilla.....jeevich kanichu.... award urappa....nalla movie....comedy + love + sad.....kunjappan pwoliya.....	Positive
199	199	inii raavanante varavaanu. . #shylock	unknown_state
200	200	dasettans voice sooper. thante parimiti ninnu kondu paramavadhi mammookka shramichu. ego illathe eee role cheytatu valya karyam thanne	Positive
201	201	kandirikum..december season jayettan lelathil angu pidichunu paranjekk kta..jayasurya fans oru like adiche....	Positive
202	202	mamangam jallikket moothon marakkar  sadharana box office nodayrrn ni theernu enn parayarr  idh nammal nammalod thanne parayanda varum	Positive
203	203	addipoli song.... ethra kettatum mathiyaavunnilla sathyam..	Positive
204	204	ikkade ethu videoyum trendingill undaavum athu 1m mugalill views	Positive
205	205	eee song nuu vendi wait cheytha ikka phaans‌ like‌ adii  mammookka - dassettan combo	unknown_state
206	206	happy birthday nivin achaya  ichayan & lalettan fans nu like ivide adikkam	unknown_state
207	207	oru  katta ikka fan aanengil    ivide come on	unknown_state
208	208	njaan oru thakarppan chaanal thudangittundu.ellaavarum subscribe cheythu support cheyyille	unknown_state
209	209	oru variety padam manakkunnu ettan uyir	Positive
210	210	oru singam mmayam..  pwoli trailer	Positive
211	211	iniya enthu kolamaan ithu aunty poley und	Negative
212	212	peranbinu shesham raja 2 diffrence character mamookaada ithaadaa nadan ithavanamada  nadan  mamooka	Positive
213	213	inii varaanullath avantethaanu  linto kuryan  pishakaano ennu chodichaal.......	unknown_state
214	214	vishayam trailer onnum parayaan illa.... lub u ettaaa	Positive
215	215	valare santhosham.. 2 kodi 93 laksham + views.. keralatthil koodaathe mattu samsthaanathe aalukalude commentts vaayikkumbozhulla oru kuliru...    love this song 3/12/2019  time :12:38 am	Positive
217	217	moonure enthayalum adikkila erunoore kodi adukateenne ashamshikunu	Mixed_feelings
218	218	kristianikalkidayil ivane oru pere ollu “lucifer”	unknown_state
219	219	korach adhikum award kude  undakendi verum enn toonna suraajettante acting kanumbo	Positive
220	220	rajaavaaya pazhasshiyil ninnum chaaverukalude nethaavilekku mammookka  waiting ikkaa.. first day thanne pooyi kaanum..	Positive
221	221	yandae samsayam mumooty yadutu kanum alu vedoill vanilla ........	unknown_state
222	222	check full comment name and details name. kazhivil alla orotharkum nottam nummade alalo ennal comment and like adikam	unknown_state
223	223	vannu vannu avan vannuikka love yuu	Positive
224	224	mammukka marana mass  ikka fans like  katta wi8 for mammangam	Positive
225	225	social media vazhi paranju perippichu raju. .	Negative
226	226	ithu 10 m mamankam 15 m cross cheyuvayirikum	unknown_state
227	227	dayavu cheythu aarum eee duranthatthinu thalavekkaruth. apekshayaanu. chirakodinja kinaavukal.	Negative
228	228	xmas rajuvettanum surajettanum koodi kondupovunna thonnane	Positive
229	229	aaradaa ente chankinode chodikkaathe avante peril sinimayeduthathu......	unknown_state
230	230	trailer athra pora ennalum cinema polikaneeeerrr	Mixed_feelings
231	231	trailer adipoli anne paranjal pora vere levala	Positive
232	232	karutha muth... legend im vijayan fans like adi. bullet vijayettan... gunda thanney	unknown_state
233	233	eeyide erangiyathil vechu ethra kandaalum kettalum mathivaraatha oru paattu... serikkum mammookkayodulla bahumanam koodi varikayaanu... adipoli...	Positive
234	234	thikachum vyathyastham allaatha oru chaanal	unknown_state
235	235	mass ithu polikkum mammookka .i am waiting	Positive
236	236	oru kgf kanda feel......🤩🤩🤩🤩🤩🤩🤩🤩🤩tovi machaan verey level aah........	Positive
237	237	valladhe choriyunna mammunni fans ellam mary ninnu mandhikoli .. idhu lalettan anu angeru vere level anu . neeyonnum ethra kootiyalum koodula	Negative
238	238	nivin poolii phaans...like  ibade ittoli	unknown_state
239	239	madhuraraja_3hours 86k like lucifer_49 minutes 120k like feel the difference	Mixed_feelings
240	240	ndaapooo ndayee.....inendaa vishuaa....ara ewde padakam pottichee....  uff romanjam_ahangaaram#ikka	unknown_state
241	241	pakaram vekkan indian cinimayil aarumillatha ee rajavine katta kathirippu   laletta ingelu muthanu	Positive
242	242	manju ore polii..  katta waiting..	Positive
243	243	mammmokhaaa 69 vayyas ayye annetum look entaa ponooo	Positive
245	245	machaane ith polikkum......ittichante vaka oru sample vedikett maathram...ini theater pooraparambaakkkaan...ittichan oru varavukoodi varunnundenn paranjekkk......(ittimani)	Positive
246	246	porinju is wild mariam is crazy jose is raw........ mothatthil polichille 🤩🤩🤩🤩	Positive
247	247	puthumukha samvidaayakar valia pratheeksha nalkaatha trailer famili sinima koode erangunnathu katta sinimakal ennittum 100+ phaans shhow vachu backie ellah oonam release pedikkunnundenkil athu eee sinimayude naayakan kaaranam maathram ayirikkum kaaranam eee padatthinte naayakan nammude swantham eattan aanu lalettan            ellah eattan fancinum like adikkaanulla sthalam thaazhe undu	Positive
249	249	paatt kettittu paattine kurichu valla kamant undo nokkaan vannatha...ivide phul faansinte  maamangam aanallo....eeshora.....!	Positive
250	250	masskka baap. ithrayum nallaru malayalam movie kanda kalam marannu.	Positive
251	251	mosam nu paranja valare mosam fahad fasal. jpg	unknown_state
253	253	aadyayitta oru comment vidune video kandaal aarum onnu comment ittupovum	Positive
254	254	sorry trailer  veendum veendum kandukondirikunnathkaranam comments\r  vazhikkan pattiyittilla mammookka polikkum	Positive
255	255	natural venam polum side lottu maarinikke anganullavar korach mass okke nallaatha	Negative
257	257	porinjuntum joseintum chilhood actorsine traileril kanikarnnu	unknown_state
258	258	unlike cheyyunavarde annakkil adich kodukana item	Mixed_feelings
259	259	oru triler varunnu ennu kettappol  ithrem kidu ayirikkum ennu karuthiyilla	Positive
260	260	joshi sarr nyoo dalhi levelilekku thirichu varunno ennoru samshayam..	Positive
261	261	ithilum amanusjika manallo,ithokke poyi pillerodu para sare	unknown_state
262	262	1:14 fahad fasil aano auto erangiyath🤔🤔	unknown_state
263	263	1:28  bgm laila ooo laila koppi	unknown_state
265	265	onnu urappa full entertainment movie yaa.. yente ponnu ikka fans onnu kaddak pidichaal oru blockbuster engu poorum ....	Positive
266	266	after rakshaadhikaari baiju....same level padam....katta waiting	Positive
267	267	odukkaatha pheel anu... ntho onnu nashttapettu poya feeling.... 🥀	Positive
268	268	shane nigam...lookullavarku abhinayikanum koodi ariyaamenkil athoru killer combinationaanu. baby molde dialogue kidilam...fahad fan always...ithu pwolikkum.	Positive
270	270	kannadi poyi nokkadi apo kaanum mookuthy	Negative
271	271	lalettan mammukayum annum innum ennum oru vikaaramaan.. ittimaanikku ellah vidha aashamsakalum..	Positive
272	272	thalli marikkathe..... sheyinu‍ enthu kattiyenna? ellah padatthilum ore kolam ore montha ennittum thalli marakkalin oru kuravum illa...	Negative
273	273	ittymani fansin pokunnavar ivde like chey	unknown_state
274	274	fahadikkante erangiyittu  ulla otta padam polum veruppichittu illa....  ellaam onninu onnu mecham....	Positive
275	275	ikka and rajuettan... uff goose bumps	Positive
276	276	youtube vare hang aaki ikkede piller	Positive
277	277	vegam 6 mani ayal mathiyayirunnu .katta waiting lalettaaaaa	Positive
279	279	katta waiting aanu makkale june 16th derick abraham entry	Positive
280	280	chellepo ninde appan katond poyi kannum mukuthi ..sarevilla ni ninde appende brandi luppii eduth adichoo	Negative
281	281	ikka fan ane bt song pora	Negative
282	282	malayaalathil ninnum oru raakshasan level aittam. .   click aayal chaakkochante kodi klabilekkulla entry aavum. .	Positive
283	283	ingane allah ingane allah ente achaayan inganalla	unknown_state
284	284	poleesil valia sthaanamonnumillaathe cheria positionil jolie cheyunna chettan (lalettan ) ennaal valia budhiman under cover ooppareshan ottaykku nadathunna midukkan ..chettan highlevel  poleesukaarude munbil cheruthaayitt nilkkunnath ishtapedaatha aniyan ..pinneoru  ooppareshan..athil pedunnu adii pidi vedi avasanam  aniyane thatti kondupokalu shettiyude aalukalude kayyinnu rakshikkunnathum  avasaanamoru siddikh laal eandu card padam ithaanu	unknown_state
287	287	anusitharak pakaram namitha pramod mathiyayrnu thoniyavar	Mixed_feelings
288	288	sthrikalude aarthava samayath purushanmaar aaharam paachakam cheiyunna thamizh graamam   kaananaayi linkle click cheyyuka	unknown_state
289	289	trailer idakku evideyo oru aamen touch thonniyille	Mixed_feelings
290	290	teaser athra poraa ennullavar like adaai	unknown_state
291	291	romanjam ikka predhikshichadh pazham kanjiya but kittiyadh biriyani powli...	Positive
292	292	enthaayaalum adutha tick toock trend settu aayi...	Positive
293	293	sreenath basi villain alla nu sure	unknown_state
294	294	ithinte malayaalam dabbu cheythu irakkaamo.. onnum manasilayilla...	Mixed_feelings
295	295	ipol kanda  oru seen polum... aa cinimayil undavila.....inthinu munne .. njan   pala cinimayilum kanditulatha.....	unknown_state
296	296	sahodarangale aahu mookkutthi kandu kittunnavar thirichelppikkuka pavapetta kudumbatthile kochaanu	unknown_state
297	297	lalettan pand major aayirunnu ennu thonunnu...enikk matte joshiey sirnte salaam kashmir orma varunnu...	unknown_state
298	298	nte mmo..ikka polii polii polichu.. oru rakshayumilla makkale	Positive
299	299	heavy..mass & clas...cudos team lucifer... laalettaa ingalu muthaanu...double role aanu makkale......	Positive
300	300	mammu phaans‌ naarikal triler degrade cheyyaan vannittundallo 🤦‍🤦‍🤦‍	Negative
301	301	ee varshatthe maraka mass padam kidu bgm	Positive
302	302	adipoli teaser onnu parayan illa	Positive
303	303	phastt eee chalee kunna rajappane chavitti puratthaakke ennaale malayaala kunna rakshapedu	Negative
304	304	ikka  ennum mass  aanallo ... ithum pakka mass  aanu	Positive
305	305	mookkutthi eduthathu kondu aanu sanju samsone teamil edukaathathu	unknown_state
306	306	polichu...  namude lalettan.. ...  rajuchettan	Positive
307	307	bgm pora..athaanu oru gumillatath...vishwals okke poolii aanu..	Mixed_feelings
308	308	njan nookumbol 17k views and 113k likes  ikkade pillerude power like adikk. . . . (edited because of the increasing of likes)	unknown_state
309	309	paranjere malayalathil oru stunt master vannitundenn	unknown_state
310	310	e cinema kuti kanunna swapnam onnum aakale	unknown_state
311	311	ithu mamangamo... atho kinnaarathumbiyude sekkant parto	Negative
312	312	ittimaani suuppar hittayathin shesham ivide vannavarundo	unknown_state
313	313	traliler ishtapetta ettan fans undel ivide like..	unknown_state
314	314	prthwiraj  and ikka fans like here	unknown_state
315	315	ith polikkum kanditt oru atom bombin vakayundd	Negative
316	316	aaroo oraal allah ente eattan  my  big brother	unknown_state
317	317	ittichayaan ikkaa faansinte ellah oonaashamsakalum	Positive
318	318	lucifer ki jay  lallettan polichu mass  verum  massala  marana mass love  you lallettaaaaa	Positive
319	319	avasaanathe vaayana kandappo enikku ennethanne oormma vannu.	unknown_state
320	320	0:52 ithu muzhuvan undaakkiyedutha eee mothalinu ethra like	unknown_state
321	321	ellah kament thozhilaallikalkkum advance happy christumous and nyoo iyar	Positive
322	322	padam kanda shesham triler kaanaan vanna arelum undo? chirichu chirichu chathaliyo...	Positive
323	323	lalettan kalakki.....polich...... ithine vellan oru madhurarjayude treaserinum pattilla	Positive
325	325	uyiril thodum thalir  viralaavane nee.. arike nadakkane.. alayum  chudukaattinu koottinayaay namoru naal kinakkudilil  chennanayumirunilaavalayay..  aarum.. kaanaa… hridayathaaramathil  uruki naamannarum.. kelkka… pranayaajaalakatha  palavuru parayumo…  uyiril thodum kulir  viralaayidaam njaan..  arike nadannidaam.. alayum  chudukaattinu koottinayaay namoru naal kinakkudilil  chennanayumirunilaavalayay..  aarum.. kaanaa… hridayathaaramathil  uruki naamannarum.. kelkka… pranayaajaalakatha  palavuru parayumo…  vazhiyorangal thorum  thanalaayee padarchilla nee… kudayaay nivarnnoo nee  novaaraathe thoraathe peyyu‌keeii.. thuzhayolangal pooll niin  kadavathonnu njaan thottu melle kaatte chillayithil veeshane kaare ilayithil peyyane  melle theeramithilolangalolangayi nee varoo…  uyiril thalodidum  uyiraayidum naam..  namoru naal kinakkadalil  chennanayumirunilaanadiyaay..  aarum.. kaanaa… hridayathaaramathil  uruki naamannarum.. kelkka… pranayaajaalakatha  palavuru thudarumo…	unknown_state
326	326	ente ichayooo....  athre parayunnulluuu.... ennu manasil karuthiyavar hit like here.....	unknown_state
327	327	teaser kandaalariyaam bhoodham polathe oombiya padamaanenn...	Negative
328	328	chemban... joju   ... anthas	Positive
